"station","date","time_arrive_UTC","lat","lon","air_temp","wind_speed_kts","snow_depth","ice_thickness","niskin_bottle","nominal_depth","salinity_A","salinity_B","Actual_depth","Pressure","Temp_1", "Temp_2","Salinity","Sigma","O2","Oxygen","O2_1","O2_flask","O2","NO3_A","NO3_B","Si_A","Si_B","NO2_A","NO2_B","NH4_A","NH4_B","P_A","P_B","d18O_A","d18O_B","Alk_A","Alk_B","Ba_A","Ba_B","comments"
"Barneo-Test",2010-04-21,1904-01-01 20:07:00,89.05705,70.93795,-25,"NA","NA","NA",5,300,34.8667,NA,281.197,284.438,1.3237,1.3097,34.8668,27.9171,6.87901,88.7743,299.988,"T45","lost",11.1629,NA,5.8732,NA,0.0235,NA,0.0379,NA,0.8582,NA,0.207302798202192,NA,NA,NA,NA,NA,"No-ISUS (had cold soaked for 6 hours so was not run)/O2 ok"
"Barneo-Test",2010-04-21,1904-01-01 20:07:00,89.05705,70.93795,-25,"NA","NA","NA",4,300,34.867,NA,325.003,328.784,1.1858,1.1699,34.8666,27.9267,6.88086,88.4867,300.085,"T22","lost",11.1497,NA,5.9793,NA,0.0135,NA,0.1241,NA,0.8579,NA,0.21818050201764,NA,NA,NA,NA,NA,NA
"85N 90E",2010-04-22,1904-01-01 11:12:00,84.9916666666667,89.9853333333333,-26,"none","4","26",6,200,34.8648,NA,210.272,212.659,1.7471,1.736,34.8643,27.8837,NA,NA,NA,NA,NA,12.0392,NA,5.1797,NA,0.0235,NA,0.0705,NA,0.8304,NA,0.22,NA,NA,NA,NA,NA,"O2 sensor serial number 229 not working: got frozen"
"85N 90E",2010-04-22,1904-01-01 11:12:00,84.9916666666667,89.9853333333333,-26,"NA","NA","NA",2,150,34.6667,NA,154.67,156.404,0.9256,0.9187,34.6663,27.7826,NA,NA,NA,NA,NA,10.9785,NA,5.2428,NA,0.0145,NA,0.1793,NA,0.7927,NA,0.02,NA,NA,NA,NA,NA,"First ISUS cast DAT004"
"85N 90E",2010-04-22,1904-01-01 11:12:00,84.9916666666667,89.9853333333333,-26,"NA","NA","NA",5,100,34.2661,NA,106.815,108,-1.5012,-1.5036,34.2655,27.5754,NA,NA,NA,NA,NA,4.6213,6.2412,2.9725,2.7338,0.0367,0.016,0.1275,0.041,0.5565,0.5445,-0.41,NA,NA,NA,NA,NA,"no O2 samps"
"85N 90E",2010-04-22,1904-01-01 11:12:00,84.9916666666667,89.9853333333333,-26,"NA","NA","NA",4,75,34.2164,NA,87.985,88.957,-1.8269,-1.8286,34.2159,27.5442,NA,NA,NA,NA,NA,4.6429,NA,3.9824,NA,0.0079,NA,0.125,NA,0.4734,NA,-0.87,NA,NA,NA,NA,NA,NA
"85N 90E",2010-04-22,1904-01-01 11:12:00,84.9916666666667,89.9853333333333,-26,"NA","NA","NA",3,50,34.208,NA,55.989,56.603,-1.8509,-1.852,34.2001,27.532,NA,NA,NA,NA,NA,4.6387,NA,2.584,NA,0.0079,NA,0.0606,NA,0.4678,NA,-0.87,-0.85,NA,NA,NA,NA,NA
"85N 90E",2010-04-22,1904-01-01 11:12:00,84.9916666666667,89.9853333333333,-26,"NA","NA","NA",1,20,33.9765,33.9767,21.1,21.33,-1.8386,-1.839,33.9755,27.3489,NA,NA,NA,NA,NA,1.9595,NA,2.9864,NA,0.0538,NA,0.1176,NA,0.4412,NA,-1.17,NA,NA,NA,NA,NA,NA
"86N 90E",2010-04-22,1904-01-01 16:10:00,85.985,89.5733333333333,-28,"none","NA","42",6,200,34.8105,34.8089,204.998,207.322,1.1981,1.1883,34.8106,27.8805,NA,NA,NA,NA,NA,9.5343,NA,4.9826,NA,0.018,NA,0.0404,NA,0.7823,NA,0.12,NA,NA,NA,NA,NA,"Second and third ISUS casts DAT005 (changed plug position) DAT006"
"86N 90E",2010-04-22,1904-01-01 16:10:00,85.985,89.5733333333333,-28,"NA","NA","NA",2,150,34.6297,NA,153.368,155.087,0.5079,0.5016,34.6297,27.7791,NA,NA,NA,NA,NA,9.7474,NA,5.1297,NA,0.0595,NA,0.0632,NA,0.7924,NA,0.1,NA,NA,NA,NA,NA,"no O2 samps"
"86N 90E",2010-04-22,1904-01-01 16:10:00,85.985,89.5733333333333,-28,"NA","NA","NA",5,100,34.3095,NA,103.359,104.505,-0.8792,-0.8821,34.3113,27.5906,NA,NA,NA,NA,NA,7.5305,NA,4.4393,NA,0.042,NA,0.0404,NA,0.7096,NA,-0.22,NA,NA,NA,NA,NA,"O2 sensor bad"
"86N 90E",2010-04-22,1904-01-01 16:10:00,85.985,89.5733333333333,-28,"NA","NA","NA",4,75,34.0488,NA,76.407,77.249,-1.5184,-1.5201,34.0479,27.3991,NA,NA,NA,NA,NA,3.9598,NA,2.2537,NA,0.0183,NA,0.1013,NA,0.3994,NA,-0.56,-0.56,NA,NA,NA,NA,NA
"86N 90E",2010-04-22,1904-01-01 16:10:00,85.985,89.5733333333333,-28,"NA","NA","NA",3,50,33.7348,NA,50.083,50.632,-1.8467,-1.8476,33.7245,27.1451,NA,NA,NA,NA,NA,1.9693,0.6563,3.2604,2.3186,0.0423,0.0523,0.1169,0.0567,0.4578,0.2996,-1.41,NA,NA,NA,NA,NA,NA
"86N 90E",2010-04-22,1904-01-01 16:10:00,85.985,89.5733333333333,-28,"NA","NA","NA",1,20,33.7334,NA,20.17,20.389,-1.8477,-1.8481,33.7236,27.1443,NA,NA,NA,NA,NA,2.902,NA,3.7029,NA,0.0319,NA,0.8337,NA,0.4028,NA,-1.38,NA,NA,NA,NA,NA,NA
"NP",2010-04-23,1904-01-01 09:33:00,89.9916666666667,7.06666666666667,-20,"20","NA","48",6,200,34.7436,NA,204.078,206.396,0.8539,0.8447,34.7428,27.8489,6.90036,87.9116,300.996,"T21","6.89",10.7059,9.9616,5.8987,5.5143,0.0395,0.0427,0.0173,0.0271,0.8263,0.7835,0.2,NA,NA,NA,NA,NA,"new O2 sensor working well although wrong con file"
"NP",2010-04-23,1904-01-01 09:33:00,89.9916666666667,7.06666666666667,-20,"NA","NA","NA",2,150,NA,NA,157.885,159.66,-0.1583,-0.1639,34.5019,27.7125,7.03865,87.2041,307.198,"T14","7.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O2 bubbles"
"NP",2010-04-23,1904-01-01 09:33:00,89.9916666666667,7.06666666666667,-20,"NA","NA","NA",5,100,34.094,34.0947,103.862,105.016,-1.4502,-1.4526,34.0937,27.4343,7.40736,88.4263,323.553,NA,NA,7.8253,NA,4.7673,NA,0.0174,NA,0.0071,NA,0.6509,NA,-0.43,NA,NA,NA,NA,NA,NA
"NP",2010-04-23,1904-01-01 09:33:00,89.9916666666667,7.06666666666667,-20,"NA","NA","NA",4,75,NA,NA,71.453,72.241,-1.4816,-1.4831,33.3541,26.8346,6.74579,80.0389,294.788,"B10","6.74",9.901,NA,16.9335,NA,0.1157,NA,1.4472,NA,1.0092,NA,NA,NA,NA,NA,NA,NA,NA
"NP",2010-04-23,1904-01-01 09:33:00,89.9916666666667,7.06666666666667,-20,"NA","NA","NA",3,45,31.9717,NA,45.059,45.553,-1.7472,-1.7479,31.9677,25.7146,8.78874,102.516,384.423,"T35","8.7100000000000009",3.1381,NA,11.2905,NA,0.0498,NA,-0.0013,NA,1.2308,NA,-2.27,NA,NA,NA,NA,NA,NA
"NP",2010-04-23,1904-01-01 09:33:00,89.9916666666667,7.06666666666667,-20,"NA","NA","NA",1,20,31.9721,NA,20.261,20.482,-1.7495,-1.7498,31.9637,25.7114,8.71477,101.6439,381.189,"T10","8.7200000000000006",2.5649,NA,10.376,NA,0.0466,NA,3.4679,NA,1.1611,NA,-2.28,NA,NA,NA,NA,NA,NA
"88N 90E",2010-04-23,1904-01-01 13:59:00,87.9563333333333,89.2568333333333,-20,"NA","NA","NA",6,200,34.3986,NA,129.278,130.723,-0.5709,-0.575,34.3997,27.6493,7.22787,88.5187,315.531,NA,NA,7.9132,NA,4.9282,NA,0.0512,NA,0.0109,NA,0.7266,NA,-0.01,NA,NA,NA,NA,NA,NA
"88N 90E",2010-04-23,1904-01-01 13:59:00,87.9563333333333,89.2568333333333,-20,"NA","NA","NA",2,150,33.901,NA,76.049,76.889,-1.6105,-1.6121,33.899,27.2808,7.57476,89.9108,330.927,NA,NA,7.1488,NA,5.1624,NA,-0.0013,NA,0.0148,NA,0.6552,NA,-0.7,NA,NA,NA,NA,NA,NA
"88N 90E",2010-04-23,1904-01-01 13:59:00,87.9563333333333,89.2568333333333,-20,"NA","NA","NA",5,100,33.1749,NA,49.657,50.202,-1.6687,-1.6696,33.1728,26.6922,7.74602,91.326,338.562,NA,NA,2.6787,NA,7.1613,NA,0.0132,NA,0.0181,NA,0.6968,NA,-2.46,-2.48,NA,NA,NA,NA,"Niskin 3 & 5 reversed for salinity?? Entries reflect change"
"88N 90E",2010-04-23,1904-01-01 13:59:00,87.9563333333333,89.2568333333333,-20,"NA","NA","NA",4,75,32.1231,NA,23.684,23.942,-1.7593,-1.7597,32.1235,25.8414,8.71298,101.7117,381.076,NA,NA,1.5084,NA,4.3175,7.1706,0.0193,0.0344,0.0203,0.0449,0.4613,0.6904,-2.47,NA,NA,NA,NA,NA,"Also bottle assignments matched to salinity; cast pretripped?!"
"88N 90E",2010-04-23,1904-01-01 13:59:00,87.9563333333333,89.2568333333333,-20,"NA","NA","NA",3,50,32.1221,NA,23.411,23.666,-1.7593,-1.7597,32.1226,25.8407,8.71235,101.7037,381.049,NA,NA,4.9301,1.2154,8.9481,NA,0.0312,NA,0.026,NA,0.718,NA,-1.46,-1.47,NA,NA,NA,NA,NA
"88N 90E",2010-04-23,1904-01-01 13:59:00,87.9563333333333,89.2568333333333,-20,"NA","NA","NA",1,20,32.1229,32.125,23.684,23.942,-1.7593,-1.7597,32.1235,25.8414,8.71298,101.7117,381.076,NA,NA,0.8805,NA,6.733,NA,0.0348,NA,0.0338,NA,0.6392,NA,-2.53,NA,NA,NA,NA,NA,NA
