"Date","Time","Station","Latitude","Longitude","Target_Depth","CTD_Depth","CTD_Salinity","CTD_Temperature","Bottle_Salinity","d18O","Ba","Si","NO3","NO2","NH4","P"
2004-04-26,1899-12-31 15:39:00,"Borneo4",89.305,126.114333333333,30,16,32.229,-1.76,32.229,-3.23,54.3,5.38,1.537,0.033,0.19,0.477
2004-04-26,1899-12-31 15:39:00,"Borneo4",89.305,126.114333333333,67,67.8,33.065,-1.726,33.065,-1.85,49.5,6.23,4.706,0.024,0.12,0.579
2004-04-26,1899-12-31 15:39:00,"Borneo4",89.305,126.114333333333,110,113.1,34.143,-1.452,34.143,-0.44,43.9,5.13,6.819,0.021,0.08,0.68
2004-04-26,1899-12-31 15:39:00,"Borneo4",89.305,126.114333333333,350,342.3,34.846,0.934,34.846,0.1,43,4.96,9.397,0.033,0.11,0.769
2004-04-27,1899-12-31 04:22:00,"St85-170",85.012,-166.615,15,15,31.198,-1.719,31.198,-3.5,61.7,7.07,1.62,0.02,0.34,0.801
2004-04-27,1899-12-31 04:22:00,"St85-170",85.012,-166.615,65,64.5,32.43,-1.631,32.43,-1.95,53.5,11.67,6.11,0.01,0.31,0.884
2004-04-27,1899-12-31 04:22:00,"St85-170",85.012,-166.615,150,149.3,34.392,-0.445,34.392,-0.19,44.8,6.03,9.125,0.005,0.14,0.762
2004-04-27,1899-12-31 04:22:00,"St85-170",85.012,-166.615,500,444.5,34.868,0.603,34.868,-99,-99,-99,-99,-99,-99,-99
2004-04-27,1899-12-31 08:32:00,"St86-170",86.1453333333333,-171.29,15,15,30.703,-1.724,30.703,-3.62,61.1,-99,-99,-99,-99,-99
2004-04-27,1899-12-31 08:32:00,"St86-170",86.1453333333333,-171.29,65,64.5,32.515,-1.684,32.515,-2.13,55.3,8.39,5.071,0.019,0.27,0.674
2004-04-27,1899-12-31 08:32:00,"St86-170",86.1453333333333,-171.29,150,149.6,34.417,-0.406,34.417,-0.18,42.4,6.1,9.346,0.004,0.23,0.759
