"Date","Station_ID","Lat","Lon","Niskin","Target_Depth","CTD_Press","CTD_Depth","CTD_Temperature","CTD_Salinity","CTD_O2","Bottle_Salinity","unc","d18O","unc_1","Ba","unc_2","TA","unc_3","PO4","unc_4","Si_OH4","unc_5","NO3","unc_6","NO2","unc_7","NH4","unc_8","Bottle_O2","MW","SIM","PAC"
2015-04-13,"Barneo",89.5116166666667,-20.3045,1,20,20.6631999999999,20.4403,-1.812,33.0154,8.8003,33.018,NA,-1.97225745280663,NA,48.8340121237887,NA,2272.5,NA,0.360938151020408,NA,3.00184218367347,NA,1.44151062306122,NA,0.00390018510204081,NA,-0.00101833469387756,NA,8.76880694203854,9.9379,-6.8289,17.906
2015-04-13,"Barneo",89.5116166666667,-20.3045,2,50,51.0503999999999,50.4959,-1.8245,33.2518,8.7757,33.2605,0.000707106900877002,-1.8466659026593,NA,47.8845185849233,NA,2277.9,NA,0.348863812331633,0.00490172497362982,2.64706076897959,0.0181004161760753,1.53932382185204,0.00614880773831707,0.0154472508010204,0.00822383331024267,-0.00110651370408163,5.80205213317059e-05,NA,9.4652,-6.9337,16.095
2015-04-13,"Barneo",89.5116166666667,-20.3045,3,75,81.4374999999999,80.5471,-1.8333,33.4187,8.6896,33.424,NA,-1.69536264459445,NA,47.051959334111,NA,2275.1,NA,0.360296286210204,NA,2.57186059297959,NA,1.75544762045918,NA,0.0191333127653061,NA,0.0275065510816327,NA,NA,8.7109,-6.618,16.354
2015-04-13,"Barneo",89.5116166666667,-20.3045,4,100,102.1008,100.9794,-1.6355,33.7388,7.6545,33.707,NA,-0.954667783020723,NA,45.9357660581618,NA,2284.85,2.75771644637087,0.586093950269388,NA,4.12628810334694,NA,5.12100530869388,NA,0.0149535327755102,NA,0.00853237289795919,NA,NA,4.8998,-3.2806,18.537
2015-04-13,"Barneo",89.5116166666667,-20.3045,5,150,151.9357,150.2488,-0.7613,34.4115,7.2056,34.397,NA,-0.143761087421291,NA,43.0893719699273,NA,2300,NA,0.716241043826531,NA,4.16583255306122,NA,8.44856431933673,NA,-0.000345674438775508,NA,0.0275723641836735,NA,7.0779553856322,1.4371,-0.86946,10.903
2015-04-13,"Barneo",89.5116166666667,-20.3045,6,300,302.656,299.1868,1.2035,34.8637,6.9083,34.858,NA,0.213730489406821,0.00629326818695157,42.1799628735733,0.133133429607315,2306.3,NA,0.87366064402449,NA,5.17590007640816,NA,11.9556574373878,NA,-0.00314203102040817,NA,0.256080534367347,NA,6.77721746391017,0.29761,-0.32664,2.2087
2015-04-14,"NP1",87.9622333333333,-89.73,1,20,22.3972,22.1556,-1.7112,31.2071,8.8115,31.21,NA,-3.65043916364928,0.00419562326989156,55.9079016906155,0.283308139039785,2187.3,NA,0.4868012032,NA,6.655379544,NA,1.30702971,NA,-8.32779999999971e-05,NA,-0.00139488,NA,9.40506929948475,17.231,-10.568,32.306
2015-04-14,"NP1",87.9622333333333,-89.73,2,50,54.0166,53.4299,-1.6832,31.9383,8.2411,31.939,NA,-2.42221186981353,NA,51.1476919122157,NA,2218.6,13.152186130016,0.590464309034694,NA,6.10606770538776,NA,2.58763482884694,NA,-0.00454322982653061,NA,0.255220617734694,NA,8.32042303653886,11.235,-5.9413,31.929
2015-04-14,"NP1",87.9622333333333,-89.73,3,75,85.6361,84.6994,-1.525,33.1301,6.7891,33.096,NA,-1.28793067510193,NA,54.2379885350024,NA,2254.8,NA,1.11037807836735,NA,18.0733949632653,NA,9.08907926938775,NA,0,NA,0.0283464926530612,NA,7.1771491432782,5.0123,-3.4032,42.076
2015-04-14,"NP1",87.9622333333333,-89.73,4,100,106.7158,105.5432,-1.364,33.8462,6.6546,33.879,NA,-0.625360248127131,NA,48.5555446143814,NA,2277.3,NA,0.959002071769388,NA,12.5254573319184,NA,9.1210157587653,NA,0,NA,-0.00153568781632653,NA,NA,2.7948,-2.0926,26.659
