"Cast","Date","Station","Lat","Lon","Target_Depth","Depth","CTD_pressure","CTD_salinity","CTD_temperature","CTD_O2","Salinity","unc","O2","unc_2","Total_Alkalinity","unc_3","d18O","unc_4","Ba","unc_5","PO4","unc_6","Si_OH4","unc_7","NO3","unc_8","NO2","unc_9","NH4","unc_10"
2,2014-04-15,"87N, 180",86.9979166666667,179.645783333333,20,23.0602,23.3214,30.723,-1.6824,8.7911,"30.71",NA,"9.0356948981165868",NA,"2162.6999999999998",NA,"-3.185156794441359",0.00349640829740755,"62.4381311717271",NA,"0.62486309339678758",NA,"6.3277283521713255",NA,"1.0879887626412847",NA,"7.4155859607376627E-3",NA,"0.31234323616894744",NA
2,2014-04-15,"87N, 180",86.9979166666667,179.645783333333,50,56.4576,57.1042,32.843,-1.555,7.0699,"32.764650000000003",0.00219203104834377,"nan",NA,"2238",NA,"-1.5183467355131095",NA,"54.67597942565078",NA,"0.92365163593099353",NA,"16.797491368233192",NA,"5.9604266627007734",NA,"3.8809696609161205E-2",NA,"0.64942028554431919",NA
2,2014-04-15,"87N, 180",86.9979166666667,179.645783333333,75,82.6985,83.6486,33.939,-1.3731,7.0317,"33.840200000000003",NA,"nan",NA,"2275",NA,"-0.67876134255595699",NA,"47.366693976596196",NA,"0.69430468768590126",0.00298014590752998,"8.7133074494348612",0.0605005925225269,"6.0847970761451524",0.000836510263579382,"3.5759953152885188E-2",3.21636836731699e-05,"0.56375045657346834",0.197248587080189
2,2014-04-15,"87N, 180",86.9979166666667,179.645783333333,100,110.5297,111.8049,34.253,-0.97874,7.067,"34.237400000000001",NA,"nan",NA,"2274",NA,"-0.24364092965111403",NA,"45.122062396839013",0.726067275321617,"0.67626261748958949",NA,"6.119563652587745",NA,"6.7032272456870912",NA,"3.5828197501487184E-2",NA,"0.52963635930993469",NA
2,2014-04-15,"87N, 180",86.9979166666667,179.645783333333,150,166.1921,168.128,34.569,0.090434,6.8901,"34.565300000000001",NA,"nan",NA,"2292.8000000000002",13.4350288425444,"-3.5969587717235532E-2",NA,"43.418852561266178",NA,"0.75799650505651395",NA,"6.4132924538964886",NA,"8.1280079833432488",NA,"3.5873713563355142E-2",NA,"0.54297202855443183",NA
2,2014-04-15,"87N, 180",86.9979166666667,179.645783333333,300,329.9986,333.9722,34.841,0.90723,6.8264,"nan",NA,"6.8504886190700143",NA,"nan",NA,"nan",NA,"nan",NA,"nan",NA,"nan",NA,"nan",NA,"nan",NA,"nan",NA
3,2014-04-16,"87N, 90E",87.0166666666667,90.5833333333333,20,18.0055,18.2139,33.537,-1.8371,8.6506,"33.5259",NA,"8.539746582030018",NA,"2279.3000000000002",NA,"-1.5262583929873412",NA,"45.720715488379362",NA,"0.29011275431290906",0.00255364399937494,"2.7001632049375357",0.0605065278448695,"1.5527853494943482",0.043771325230959,"7.5157607079119598E-3",2.83463166075901e-05,"0.1039331900654373",0.0284939151577186
3,2014-04-16,"87N, 90E",87.0166666666667,90.5833333333333,50,49.2151,49.7808,33.803,-1.7396,8.3605,"33.537300000000002",NA,"nan",NA,"2286.8000000000002",NA,"-1.4985690064760235",NA,"46.352993615461088",0.421316705495586,"0.29162352766210597",NA,"2.6666331588340277",NA,"1.5836791255205234",NA,"7.5759071980963499E-3",NA,"0.22959930398572295",NA
3,2014-04-16,"87N, 90E",87.0166666666667,90.5833333333333,75,74.4229,75.2722,34.175,-1.6478,8.1065,"34.025100000000002",0.00155563502407518,"nan",NA,"2280.8999999999996",0.424264070555853,"-0.8547879407908997",NA,"45.949812064941177",NA,"0.43975569303985718",NA,"2.8655357614515187",NA,"3.6633002349791788",NA,"3.2977000297442022E-2",NA,"0.13957417906008338",NA
3,2014-04-16,"87N, 90E",87.0166666666667,90.5833333333333,100,100.831,101.9908,34.296,-1.1952,7.5958,"34.189800000000005",NA,"nan",NA,"2308.5",NA,"-0.71189005252449622",0.0230757612666232,"44.197471548219383",NA,"0.44336202260559199",NA,"2.6851422903033915",NA,"3.910305532421178",NA,"3.3022010707912004E-2",NA,"0.14189434860202257",NA
3,2014-04-16,"87N, 90E",87.0166666666667,90.5833333333333,150,153.6472,155.4374,34.692,0.6268,6.8365,"34.572800000000001",NA,"nan",NA,"2290.1999999999998",NA,"-3.6854373168605965E-4",NA,"42.265366843802241",NA,"0.7242750773349198",NA,"5.2546521356335498",NA,"8.0494233105294484",NA,"3.9409718917311112E-2",NA,"0.20405261748958986",NA
