"Date","Station","Latitude","Latitude_2","Lat","Longitude","Longitude_2","Lon","Target_Depth","Actual_Depth","CTD_Pressure","CTD_Salinity","CTD_Temp","CTD_O2","CTD_O2_2","Salinity","unc","TA","unc_2","d18O","unc_3","Ba","unc_4","PO4","unc_5","N+N","unc_6","Silicate","unc_7","NO2","unc_8","NH4","unc_9","O2"
2016-04-17,"85N, 90E",84,56.97,84.9495,89,54.1,89.9016666666667,20,21.232,21.4705,34.089,-1.8649,2.3981,8.3662,34.09,NA,2280.2,NA,-0.583826168360154,NA,43.120583555264,0.430613097581222,0.3613,NA,3.8061,NA,1.8021,NA,0.0186,NA,0.0265,NA,NA
2016-04-17,"85N, 90E",84,56.97,84.9495,89,54.1,89.9016666666667,50,54.04,54.6563,34.09,-1.8642,2.388,8.3636,34.0887,NA,2278.1,0.282842709313605,-0.612504865717874,NA,43.1832485664167,NA,0.388,NA,3.9772,NA,1.7961,NA,0.0162,NA,0.1349,NA,8.313
2016-04-17,"85N, 90E",84,56.97,84.9495,89,54.1,89.9016666666667,75,79.115,80.0269,34.098,-1.8327,2.3716,8.2574,34.0953,NA,2286,NA,-0.579870339623038,0.0671293054469777,43.1072038145913,NA,0.3912,NA,4.0498,NA,1.7902,NA,0.0275,NA,0.1007,NA,NA
2016-04-17,"85N, 90E",84,56.97,84.9495,89,54.1,89.9016666666667,100,106.14,107.3632,34.346,-0.80506,2.1464,7.0961,34.371,NA,2289.6,NA,-0.148705755455311,NA,42.5155321581113,NA,0.70945,0.000494974746896578,9.7958,0.0534572726580184,4.01875,0.00431335136453711,0.02735,0.0163341666454092,0.06615,0.0242537625946986,NA
2016-04-17,"85N, 90E",84,56.97,84.9495,89,54.1,89.9016666666667,150,158.25,160.0926,34.673,0.89088,2.1463,6.7943,34.6788,0,2291.2,NA,0.0678656117002059,NA,42.2527861602826,NA,0.8018,NA,11.7008,NA,4.9046,NA,0.0203,NA,0.082,NA,NA
2016-04-17,"85N, 90E",84,56.97,84.9495,89,54.1,89.9016666666667,300,313.6,317.363,34.885,1.4699,2.1226,6.7083,34.8847,NA,2300.6,NA,0.23004751667949,NA,42.3321079195042,NA,0.875,NA,13.2003,NA,5.495,NA,0.011,NA,0.2324,NA,6.834
2016-04-17,"86N, 90E",85,59.047,85.9841166666667,90,8.655,90.14425,20,21.221,21.4604,34.064,-1.8661,2.3907,8.3415,34.065,NA,2285.6,2.68700576863366,-0.879510337862006,NA,44.2669983543041,NA,0.4344,NA,3.8188,NA,2.6617,NA,0.0521,NA,0.256,NA,8.961
2016-04-17,"86N, 90E",85,59.047,85.9841166666667,90,8.655,90.14425,50,52.101,52.694,34.064,-1.8656,2.3809,8.3331,34.06475,0.000353552164216637,2286.4,NA,-0.910166713813535,NA,44.3792855335664,NA,0.41135,0.000353553390696488,3.8196,0.0356381817717686,2.18305,0.00346482322760315,0.02825,0.0112429978208661,0.1581,0.06307392488184,NA
2016-04-17,"86N, 90E",85,59.047,85.9841166666667,90,8.655,90.14425,75,79.124,80.0269,34.065,-1.8568,2.3721,8.3175,34.0656,NA,2290.3,NA,-0.943790079205276,NA,44.8507165461096,NA,0.4107,NA,3.8586,NA,2.0578,NA,0.018,NA,0.0023,NA,NA
2016-04-17,"86N, 90E",85,59.047,85.9841166666667,90,8.655,90.14425,100,104.21,105.4105,34.327,-0.83818,2.1257,7.0128,34.3148,NA,2277.9,NA,-0.182328177748056,NA,42.7978451441024,NA,0.7162,NA,9.5436,NA,4.5287,NA,0.0088,NA,0.0833,NA,NA
2016-04-17,"86N, 90E",85,59.047,85.9841166666667,90,8.655,90.14425,150,156.31,158.1293,34.591,0.36553,2.1212,6.8005,34.6088,NA,2287.7,NA,0.00951984923735911,NA,42.3601263489449,0.544266036698109,0.786,NA,11.2143,NA,5.1136,NA,0.02,NA,0.098,NA,NA
2016-04-17,"86N, 90E",85,59.047,85.9841166666667,90,8.655,90.14425,300,310.69,314.416,34.866,1.2777,2.1078,6.6821,34.8682,NA,2303.1,NA,0.189996460083121,0.0202789013772406,42.2033525221308,NA,0.8685,NA,12.847,NA,5.6986,NA,0.0245,NA,0.1458,NA,6.886
2016-04-18,"85N, 180",84,57.327,84.95545,-169,-49.044,-169.817,20,22.183,22.4313,29.593,-1.6198,2.4463,8.7854,29.5924,NA,2155.6,NA,-4.50386948563684,0.00978967648480946,63.9742321486806,NA,0.4182,NA,1.3059,NA,9.0307,NA,0.0362,NA,0.0996,NA,NA
